	authorid	author_name	affiliation	emails
0	~Johannes_Klicpera1	Johannes Klicpera	Technical University Munich	****@in.tum.de, ****@mailbox.org, ****@mailbox.org, ****@in.tum.de
1	~Stephan_Günnemann1	Stephan Günnemann	Technical University Munich	****@in.tum.de
2	~Boris_N._Oreshkin1	Boris Oreshkin	Unity Technologies	****@elementai.com, ****@gmail.com, ****@mail.mcgill.ca
3	~Nicolas_Chapados1	Nicolas Chapados	Imagia Inc.	****@gmail.com, ****@chapados.ca, ****@imagia.com, ****@imagia.com, ****@elementai.com, ****@elementai.com
4	~Yoshua_Bengio1	Yoshua Bengio	University of Montreal	****@gmail.com, ****@iro.umontreal.ca, ****@mila.quebec, ****@umontreal.ca
5	~Iulia_Raluca_Turc1	Iulia Turc	University of Oxford	****@gmail.com, ****@google.com
6	~Ming-Wei_Chang3	Ming-Wei Chang	Google	****@google.com
7	~Kenton_Lee1	Kenton Lee	Google Research	****@cs.washington.edu, ****@gmail.com, ****@google.com
8	~Kristina_Toutanova1	Kristina Toutanova	Google	****@google.com
9	~Bingyi_Kang1	Bingyi Kang	National University of Singapore	****@gmail.com, ****@u.nus.edu
10	~Saining_Xie1	Saining Xie	Facebook	****@eng.ucsd.edu, ****@gmail.com, ****@fb.com
11	~Marcus_Rohrbach1	Marcus Rohrbach	Facebook	****@berkeley.edu, ****@gmail.com, ****@fb.com
12	~Zhicheng_Yan2	Zhicheng Yan	University of Illinois, Urbana Champaign	****@live.com, ****@illinois.edu
13	~Albert_Gordo4	Albert Gordo	Facebook	****@fb.com, ****@gmail.com
14	~Jiashi_Feng2	Jiashi Feng	National University of Singapore	****@nus.edu.sg, ****@berkeley.edu, ****@gmail.com, ****@nus.edu.sg, ****@nus.edu.sg
15	~Yannis_Kalantidis2	Yannis Kalantidis	Naver Labs Europe	****@image.ntua.gr, ****@yahoo-inc.com, ****@gmail.com, ****@naverlabs.com
16	~Guillaume_Lample1	Guillaume Lample	Facebook	****@gmail.com, ****@fb.com
17	~Francois_Charton1	Francois Charton	Facebook	****@fb.com, ****@gmail.com
18	~Jordan_T._Ash1	Jordan Ash	Microsoft Research	****@gmail.com, ****@cs.princeton.edu, ****@microsoft.com
19	~Chicheng_Zhang1	Chicheng Zhang	University of Arizona	****@cs.ucsd.edu, ****@microsoft.com, ****@cs.arizona.edu, ****@eng.ucsd.edu, ****@arizona.edu, ****@email.arizona.edu
20	~Alekh_Agarwal2	Alekh Agarwal	Microsoft	****@gmail.com, ****@microsoft.com
21	~Angela_Fan2	Angela Fan	Facebook	****@fb.com, ****@gmail.com, ****@loria.fr
22	~Edouard_Grave1	Edouard Grave	Facebook	****@gmail.com, ****@fb.com
23	~Armand_Joulin1	Armand Joulin	Facebook	****@fb.com
24	~Haoran_You1	Haoran You	Rice University	****@rice.edu
25	~Chaojian_Li1	Chaojian Li	Rice University	****@rice.edu
26	~Yonggan_Fu1	Yonggan Fu	Rice University	****@rice.edu
