	authorid	author_name	affiliation	emails
57	~Lior_Wolf1	Lior Wolf	Tel Aviv University	****@fb.com, ****@cs.tau.ac.il, ****@gmail.com
58	~Chen_Ma1	Chen Ma		****@ualberta.ca, ****@gmail.com
59	~Dylan_Ashley1	Dylan Ashley	The Swiss AI Lab IDSIA	****@ualberta.ca, ****@idsia.ch, ****@supsi.ch, ****@usi.ch
60	~Junfeng_Wen1	Junfeng Wen	Layer 6 AI	****@gmail.com, ****@ualberta.ca, ****@layer6.ai
61	~Yoshua_Bengio1	Yoshua Bengio	University of Montreal	****@gmail.com, ****@iro.umontreal.ca, ****@mila.quebec, ****@umontreal.ca
62	~Ishaan_Gulrajani1	Ishaan Gulrajani	Stanford University	****@gmail.com, ****@gmail.com, ****@google.com
63	~Colin_Raffel1	Colin Raffel	Hugging Face	****@gmail.com, ****@columbia.edu, ****@ee.columbia.edu, ****@google.com
64	~Luke_Metz1	Luke Metz	Google	****@google.com
65	~Ikki_Kishida1	Ikki Kishida	The University of Tokyo, Tokyo Institute of Technology	****@nlab.ci.i.u-tokyo.ac.jp
66	~Samyam_Rajbhandari1	Samyam Rajbhandari	Microsoft	****@microsoft.com
67	~Harsh_Shrivastava1	Harsh Shrivastava	Microsoft	****@gatech.edu, ****@microsoft.com, ****@gmail.com
68	~Yuxiong_He1	Yuxiong He	Microsoft	****@microsoft.com, ****@gmail.com
69	~Yang_Zhang3	Yang Zhang	International Business Machines	****@ibm.com
70	~Shiyu_Chang2	Shiyu Chang	UC Santa Barbara	****@ibm.com, ****@gmail.com, ****@illinois.edu, ****@ucsb.edu
71	~Mo_Yu1	Mo Yu	WeChat AI, Tencent	****@us.ibm.com, ****@gmail.com, ****@tencent.com
72	~Kaizhi_Qian1	Kaizhi Qian	International Business Machines	****@illinois.edu, ****@ibm.com, ****@gmail.com
73	~Satya_Narayan_Shukla1	Satya Narayan Shukla	College of Information and Computer Sciences, University of Massachusetts, Amherst	****@cs.umass.edu
74	~Benjamin_Marlin1	Benjamin Marlin	University of Massachusetts, Amherst	****@cs.umass.edu
75	~Wenxuan_Zhou1	Wenxuan Zhou	CMU, Carnegie Mellon University	****@andrew.cmu.edu
76	~Lerrel_Pinto1	Lerrel Pinto	New York University	****@andrew.cmu.edu, ****@gmail.com, ****@cs.cmu.edu, ****@cs.nyu.edu
77	~Abhinav_Gupta1	Abhinav Gupta	Carnegie Mellon University	****@cs.cmu.edu, ****@andrew.cmu.edu, ****@fb.com
78	~Jun_Gao3	Jun Gao	Department of Computer Science, University of Toronto	****@cs.toronto.edu, ****@nvidia.com, ****@pku.edu.cn
79	~Di_He1	Di He	Microsoft	****@microsoft.com, ****@pku.edu.cn, ****@pku.edu.cn
80	~Tao_Qin1	Tao Qin	Microsoft Research Asia	****@microsoft.com
81	~Liwei_Wang1	Liwei Wang	Peking University	****@cis.pku.edu.cn, ****@pku.edu.cn
82	~Tie-Yan_Liu1	Tie-Yan Liu	Microsoft	****@microsoft.com, ****@microsoft.com
83	~Daniel_Gissin2	Daniel Gissin	Hebrew University of Jerusalem	****@mail.huji.ac.il
84	~Shai_Shalev-Shwartz1	Shai Shalev-Shwartz	Hebrew University, Hebrew University of Jerusalem	****@cs.huji.ac.il
